ot_id,tipo_ot,prioridad,zona,canal_origen,sla_objetivo_horas,estado_final,fecha_creacion,fecha_cierre,lead_time_horas,cantidad_eventos,cantidad_loops,tuvo_loop,fuera_sla
OT_00040,Inspección,Alta,Oeste,Call center,48,Cerrada,2026-02-13T06:49:24Z,2026-02-14T18:20:36Z,35.52,9,0,0,0
OT_00041,Mantenimiento,Media,Este,Call center,96,Cerrada,2026-03-31T00:27:47Z,2026-04-02T02:51:47Z,50.4,11,2,1,0
OT_00042,Instalación,Media,Sur,Call center,96,Cerrada,2026-02-04T07:52:47Z,2026-02-05T05:40:11Z,21.79,9,0,0,0
OT_00043,Inspección,Media,Centro,Call center,96,Cerrada,2026-01-15T03:21:07Z,2026-01-16T17:36:43Z,38.26,9,0,0,0
OT_00044,Reparación,Alta,Este,Comercial,48,Cerrada,2026-01-03T02:18:22Z,2026-01-04T09:11:46Z,30.89,9,0,0,0
OT_00045,Reparación,Baja,Centro,Sistema,168,Cerrada,2026-03-24T14:11:07Z,2026-03-27T11:36:19Z,69.42,13,4,1,0
OT_00046,Reparación,Alta,Oeste,Sistema,48,Cerrada,2026-02-13T03:15:07Z,2026-02-15T01:47:31Z,46.54,17,8,1,0
OT_00047,Instalación,Alta,Sur,Call center,48,Cerrada,2026-02-12T13:22:50Z,2026-02-14T02:48:02Z,37.42,9,0,0,0
OT_00048,Mantenimiento,Media,Norte,Comercial,96,Cerrada,2026-02-12T01:05:32Z,2026-02-16T01:10:20Z,96.08,15,6,1,1
OT_00049,Instalación,Media,Este,Call center,96,Cerrada,2026-02-04T06:22:25Z,2026-02-05T13:25:25Z,31.05,9,0,0,0
OT_00050,Mantenimiento,Alta,Centro,Call center,48,Cerrada,2026-01-25T13:36:06Z,2026-01-26T19:57:06Z,30.35,9,0,0,0
OT_00051,Mantenimiento,Baja,Centro,Call center,168,Cerrada,2026-03-28T00:40:31Z,2026-03-28T20:39:19Z,19.98,9,0,0,0
OT_00052,Instalación,Crítica,Norte,Call center,24,Cerrada,2026-02-19T06:41:27Z,2026-02-20T12:17:27Z,29.6,13,4,1,1
OT_00053,Mantenimiento,Alta,Centro,Web,48,Cerrada,2026-02-02T21:23:53Z,2026-02-04T10:16:05Z,36.87,11,2,1,0
OT_00054,Mantenimiento,Media,Oeste,Comercial,96,Cerrada,2026-03-19T00:13:29Z,2026-03-21T22:00:53Z,69.79,11,2,1,0
OT_00055,Inspección,Alta,Norte,Call center,48,Cerrada,2026-01-17T00:10:20Z,2026-01-17T21:46:20Z,21.6,9,0,0,0
OT_00056,Inspección,Alta,Centro,Sistema,48,Cerrada,2026-01-02T07:03:12Z,2026-01-04T19:33:12Z,60.5,11,2,1,1
OT_00057,Instalación,Alta,Sur,Web,48,Cerrada,2026-02-04T05:35:31Z,2026-02-05T17:21:43Z,35.77,9,0,0,0
OT_00058,Mantenimiento,Media,Norte,Call center,96,Cerrada,2026-03-03T14:26:45Z,2026-03-06T08:29:45Z,66.05,13,4,1,0
OT_00059,Instalación,Media,Oeste,Call center,96,Cerrada,2026-01-16T08:52:32Z,2026-01-19T04:40:32Z,67.8,15,6,1,0
OT_00060,Mantenimiento,Media,Sur,Call center,96,Cerrada,2026-03-19T12:44:23Z,2026-03-20T20:17:59Z,31.56,9,0,0,0
OT_00061,Instalación,Alta,Oeste,Web,48,Cerrada,2026-03-11T01:09:44Z,2026-03-12T12:03:08Z,34.89,9,0,0,0
OT_00062,Instalación,Media,Norte,Call center,96,Cerrada,2026-02-17T15:13:37Z,2026-02-18T19:07:01Z,27.89,9,0,0,0
OT_00063,Reparación,Alta,Centro,Call center,48,Cerrada,2026-03-28T10:33:30Z,2026-03-29T21:04:06Z,34.51,9,0,0,0
OT_00064,Inspección,Baja,Centro,Call center,168,Cerrada,2026-03-20T14:03:06Z,2026-03-21T21:08:30Z,31.09,9,0,0,0
OT_00065,Instalación,Media,Oeste,Call center,96,Cerrada,2026-03-27T16:31:43Z,2026-03-29T10:25:43Z,41.9,9,0,0,0
OT_00066,Mantenimiento,Media,Sur,Call center,96,Cerrada,2026-03-11T17:04:53Z,2026-03-12T14:32:29Z,21.46,9,0,0,0
OT_00067,Instalación,Alta,Sur,Comercial,48,Cerrada,2026-02-07T18:36:19Z,2026-02-09T05:28:31Z,34.87,13,4,1,0
OT_00068,Reparación,Crítica,Sur,Sistema,24,Cerrada,2026-01-24T07:59:23Z,2026-01-25T20:22:47Z,36.39,9,0,0,1
OT_00069,Instalación,Media,Este,Web,96,Cerrada,2026-01-22T17:24:42Z,2026-01-23T19:30:06Z,26.09,9,0,0,0
OT_00070,Mantenimiento,Media,Norte,Call center,96,Cerrada,2026-03-18T07:12:12Z,2026-03-19T12:24:12Z,29.2,9,0,0,0
OT_00071,Inspección,Alta,Oeste,Comercial,48,Cerrada,2026-02-06T10:49:11Z,2026-02-08T11:16:47Z,48.46,11,2,1,1
OT_00072,Mantenimiento,Alta,Sur,Web,48,Cerrada,2026-01-14T05:21:40Z,2026-01-15T19:46:52Z,38.42,13,4,1,0
OT_00073,Instalación,Media,Este,Web,96,Cerrada,2026-03-19T15:19:05Z,2026-03-21T05:57:29Z,38.64,9,0,0,0
OT_00074,Reparación,Media,Este,Sistema,96,Cerrada,2026-03-24T07:40:07Z,2026-03-26T16:02:19Z,56.37,11,2,1,0
OT_00075,Inspección,Media,Sur,Call center,96,Cerrada,2026-03-24T09:50:47Z,2026-03-25T19:51:23Z,34.01,9,0,0,0
OT_00076,Inspección,Media,Norte,Call center,96,Cerrada,2026-02-06T14:20:10Z,2026-02-07T16:20:46Z,26.01,9,0,0,0
OT_00077,Inspección,Media,Sur,Comercial,96,Cerrada,2026-01-14T19:13:37Z,2026-01-16T04:30:25Z,33.28,9,0,0,0
OT_00078,Mantenimiento,Media,Centro,Call center,96,Cerrada,2026-01-02T13:09:45Z,2026-01-04T01:16:21Z,36.11,11,2,1,0
OT_00079,Mantenimiento,Baja,Este,Sistema,168,Cerrada,2026-03-31T02:16:33Z,2026-04-01T22:58:33Z,44.7,9,0,0,0
OT_00080,Reparación,Baja,Oeste,Sistema,168,Cerrada,2026-03-04T03:41:10Z,2026-03-06T02:09:58Z,46.48,9,0,0,0
OT_00081,Reparación,Alta,Centro,Call center,48,Cerrada,2026-01-28T16:22:48Z,2026-01-31T15:07:48Z,70.75,15,6,1,1
OT_00082,Reparación,Media,Este,Call center,96,Cerrada,2026-02-14T10:00:58Z,2026-02-16T19:17:46Z,57.28,11,2,1,0
OT_00083,Reparación,Media,Centro,Comercial,96,Cerrada,2026-03-06T22:23:36Z,2026-03-08T11:05:36Z,36.7,11,2,1,0
OT_00084,Reparación,Alta,Centro,Comercial,48,Cerrada,2026-03-20T21:04:01Z,2026-03-23T13:48:25Z,64.74,13,4,1,1
OT_00085,Reparación,Baja,Centro,Web,168,Cerrada,2026-03-14T19:46:21Z,2026-03-15T21:15:09Z,25.48,9,0,0,0
OT_00086,Reparación,Baja,Sur,Call center,168,Cerrada,2026-01-08T03:35:33Z,2026-01-09T20:36:09Z,41.01,13,4,1,0
OT_00087,Reparación,Media,Sur,Web,96,Cerrada,2026-02-22T20:20:14Z,2026-02-24T04:35:50Z,32.26,9,0,0,0
OT_00088,Instalación,Alta,Centro,Call center,48,Cerrada,2026-01-19T05:14:29Z,2026-01-20T09:33:05Z,28.31,11,2,1,0
OT_00089,Reparación,Alta,Oeste,Call center,48,Cerrada,2026-03-22T19:58:36Z,2026-03-24T15:18:24Z,43.33,9,0,0,0
OT_00090,Instalación,Media,Centro,Web,96,Cerrada,2026-01-15T17:17:57Z,2026-01-16T20:34:45Z,27.28,9,0,0,0
OT_00091,Reparación,Alta,Centro,Call center,48,Cerrada,2026-02-07T21:05:21Z,2026-02-09T13:25:45Z,40.34,9,0,0,0
OT_00092,Instalación,Media,Oeste,Comercial,96,Cerrada,2026-02-05T13:56:51Z,2026-02-06T20:22:03Z,30.42,9,0,0,0
OT_00093,Inspección,Media,Centro,Web,96,Cerrada,2026-02-20T06:54:11Z,2026-02-21T05:55:59Z,23.03,9,0,0,0
OT_00094,Reparación,Baja,Norte,Call center,168,Cerrada,2026-03-16T22:54:45Z,2026-03-17T13:16:57Z,14.37,9,0,0,0
OT_00095,Reparación,Media,Norte,Comercial,96,Cerrada,2026-03-01T05:14:19Z,2026-03-02T07:31:07Z,26.28,9,0,0,0
OT_00096,Instalación,Alta,Sur,Call center,48,Cerrada,2026-02-12T09:01:47Z,2026-02-13T09:25:11Z,24.39,9,0,0,0
OT_00097,Instalación,Crítica,Oeste,Sistema,24,Cerrada,2026-02-22T06:50:32Z,2026-02-24T06:02:32Z,47.2,11,2,1,1
OT_00098,Reparación,Media,Sur,Comercial,96,Cerrada,2026-02-10T10:41:29Z,2026-02-12T13:06:41Z,50.42,9,0,0,0
OT_00099,Inspección,Baja,Sur,Comercial,168,Cerrada,2026-02-12T14:09:17Z,2026-02-14T00:17:41Z,34.14,9,0,0,0
OT_00100,Mantenimiento,Baja,Oeste,Web,168,Cerrada,2026-01-26T04:48:40Z,2026-01-28T19:51:40Z,63.05,13,4,1,0
OT_00101,Mantenimiento,Crítica,Este,Call center,24,Cerrada,2026-02-27T06:07:31Z,2026-03-01T11:42:55Z,53.59,15,6,1,1
OT_00102,Instalación,Baja,Oeste,Comercial,168,Cerrada,2026-03-14T15:45:50Z,2026-03-15T18:39:50Z,26.9,9,0,0,0
OT_00103,Mantenimiento,Baja,Sur,Call center,168,Cerrada,2026-02-03T19:51:40Z,2026-02-05T01:31:52Z,29.67,9,0,0,0
OT_00104,Inspección,Media,Oeste,Web,96,Cerrada,2026-03-13T09:21:27Z,2026-03-14T13:25:39Z,28.07,9,0,0,0
OT_00105,Reparación,Baja,Norte,Call center,168,Cerrada,2026-02-16T01:43:32Z,2026-02-16T15:38:44Z,13.92,9,0,0,0
OT_00106,Mantenimiento,Baja,Este,Call center,168,Cerrada,2026-01-25T04:12:58Z,2026-01-27T01:43:34Z,45.51,13,4,1,0
OT_00107,Reparación,Media,Centro,Web,96,Cerrada,2026-01-15T22:54:19Z,2026-01-18T06:53:07Z,55.98,13,4,1,0
OT_00108,Mantenimiento,Media,Centro,Call center,96,Cerrada,2026-01-30T03:56:32Z,2026-01-31T23:48:08Z,43.86,9,0,0,0
OT_00109,Reparación,Media,Este,Web,96,Cerrada,2026-03-27T21:47:36Z,2026-03-28T22:26:00Z,24.64,9,0,0,0
OT_00110,Instalación,Media,Este,Call center,96,Cerrada,2026-01-22T23:06:26Z,2026-01-25T11:13:38Z,60.12,13,4,1,0
OT_00111,Mantenimiento,Media,Sur,Call center,96,Cerrada,2026-01-22T07:30:36Z,2026-01-24T02:22:12Z,42.86,11,2,1,0
OT_00112,Mantenimiento,Baja,Centro,Call center,168,Cerrada,2026-02-28T01:08:29Z,2026-03-01T09:34:53Z,32.44,9,0,0,0
OT_00113,Instalación,Media,Centro,Sistema,96,Cerrada,2026-01-02T17:11:30Z,2026-01-04T11:41:30Z,42.5,13,4,1,0
OT_00114,Reparación,Baja,Este,Web,168,Cerrada,2026-02-24T22:38:02Z,2026-02-26T14:11:02Z,39.55,9,0,0,0
OT_00115,Mantenimiento,Alta,Sur,Call center,48,Cerrada,2026-01-04T09:00:30Z,2026-01-05T18:56:54Z,33.94,9,0,0,0
OT_00116,Reparación,Media,Este,Sistema,96,Cerrada,2026-01-03T18:25:25Z,2026-01-04T22:46:25Z,28.35,11,2,1,0
OT_00117,Instalación,Alta,Este,Call center,48,Cerrada,2026-01-01T14:30:41Z,2026-01-02T19:51:41Z,29.35,9,0,0,0
OT_00118,Inspección,Baja,Norte,Sistema,168,Cerrada,2026-03-03T11:47:45Z,2026-03-04T05:31:33Z,17.73,9,0,0,0
OT_00119,Mantenimiento,Media,Norte,Call center,96,Cerrada,2026-02-09T01:25:02Z,2026-02-09T19:02:50Z,17.63,9,0,0,0
OT_00120,Instalación,Alta,Centro,Sistema,48,Cerrada,2026-02-11T20:29:36Z,2026-02-13T14:41:00Z,42.19,9,0,0,0
OT_00121,Reparación,Media,Norte,Comercial,96,Cerrada,2026-03-02T18:57:18Z,2026-03-04T05:54:54Z,34.96,9,0,0,0
OT_00122,Reparación,Alta,Oeste,Sistema,48,Cerrada,2026-01-09T16:19:28Z,2026-01-12T00:09:16Z,55.83,11,2,1,1
OT_00123,Instalación,Media,Norte,Web,96,Cerrada,2026-03-11T12:45:58Z,2026-03-12T08:53:46Z,20.13,9,0,0,0
OT_00124,Reparación,Media,Sur,Call center,96,Cerrada,2026-03-18T06:44:11Z,2026-03-19T12:46:35Z,30.04,11,2,1,0
OT_00125,Mantenimiento,Media,Oeste,Sistema,96,Cerrada,2026-02-05T22:47:26Z,2026-02-06T15:40:14Z,16.88,9,0,0,0
OT_00126,Mantenimiento,Baja,Oeste,Call center,168,Cerrada,2026-02-17T18:37:44Z,2026-02-18T13:56:56Z,19.32,9,0,0,0
OT_00127,Reparación,Media,Centro,Call center,96,Cerrada,2026-02-14T13:50:15Z,2026-02-17T02:01:03Z,60.18,11,2,1,0
OT_00128,Mantenimiento,Baja,Centro,Comercial,168,Cerrada,2026-02-23T21:53:30Z,2026-02-25T09:31:18Z,35.63,9,0,0,0
OT_00129,Instalación,Media,Centro,Call center,96,Cerrada,2026-03-06T06:02:16Z,2026-03-07T12:41:52Z,30.66,9,0,0,0
OT_00130,Reparación,Alta,Centro,Web,48,Cerrada,2026-02-16T22:58:18Z,2026-02-22T12:11:30Z,133.22,19,10,1,1
OT_00131,Instalación,Alta,Oeste,Comercial,48,Cerrada,2026-02-18T01:36:32Z,2026-02-19T20:47:56Z,43.19,9,0,0,0
OT_00132,Mantenimiento,Alta,Centro,Sistema,48,Cerrada,2026-03-01T03:34:08Z,2026-03-03T23:33:32Z,67.99,15,6,1,1
OT_00133,Mantenimiento,Crítica,Norte,Sistema,24,Cerrada,2026-03-19T21:06:21Z,2026-03-20T18:05:09Z,20.98,9,0,0,0
OT_00134,Reparación,Media,Sur,Web,96,Cerrada,2026-01-29T10:28:13Z,2026-01-31T15:12:01Z,52.73,13,4,1,0
OT_00135,Mantenimiento,Alta,Este,Web,48,Cerrada,2026-01-14T23:34:56Z,2026-01-17T03:43:56Z,52.15,11,2,1,1
OT_00136,Reparación,Baja,Este,Call center,168,Cerrada,2026-01-01T12:52:53Z,2026-01-02T14:06:41Z,25.23,9,0,0,0
OT_00137,Instalación,Media,Norte,Call center,96,Cerrada,2026-03-20T00:45:40Z,2026-03-21T11:17:28Z,34.53,9,0,0,0
OT_00138,Reparación,Baja,Norte,Web,168,Cerrada,2026-02-11T09:56:25Z,2026-02-12T04:42:01Z,18.76,9,0,0,0
OT_00139,Mantenimiento,Media,Norte,Call center,96,Cerrada,2026-03-02T01:25:58Z,2026-03-03T08:17:34Z,30.86,9,0,0,0
OT_00140,Inspección,Media,Oeste,Web,96,Cerrada,2026-01-03T17:20:36Z,2026-01-04T10:42:12Z,17.36,9,0,0,0
OT_00141,Instalación,Media,Este,Sistema,96,Cerrada,2026-01-26T23:40:28Z,2026-01-27T18:48:16Z,19.13,9,0,0,0
OT_00142,Mantenimiento,Baja,Sur,Call center,168,Cerrada,2026-01-13T02:46:03Z,2026-01-17T12:38:15Z,105.87,11,2,1,0
OT_00143,Instalación,Alta,Sur,Sistema,48,Cerrada,2026-01-01T15:06:01Z,2026-01-02T16:19:49Z,25.23,9,0,0,0
OT_00144,Reparación,Alta,Este,Sistema,48,Cerrada,2026-01-13T11:05:26Z,2026-01-14T08:22:14Z,21.28,9,0,0,0
OT_00145,Mantenimiento,Alta,Norte,Comercial,48,Cerrada,2026-01-30T02:52:57Z,2026-01-31T04:17:33Z,25.41,9,0,0,0
OT_00146,Instalación,Media,Centro,Call center,96,Cerrada,2026-03-16T01:56:58Z,2026-03-17T20:59:22Z,43.04,13,4,1,0
OT_00147,Instalación,Alta,Centro,Call center,48,Cerrada,2026-03-03T23:06:23Z,2026-03-05T12:36:23Z,37.5,9,0,0,0
OT_00148,Reparación,Media,Este,Call center,96,Cerrada,2026-03-30T05:39:37Z,2026-03-31T09:48:37Z,28.15,9,0,0,0
OT_00149,Instalación,Media,Norte,Call center,96,Cerrada,2026-03-19T15:07:37Z,2026-03-22T03:17:49Z,60.17,13,4,1,0
OT_00150,Instalación,Media,Sur,Web,96,Cerrada,2026-02-23T10:25:25Z,2026-02-24T05:34:25Z,19.15,9,0,0,0
OT_00151,Reparación,Alta,Centro,Comercial,48,Cerrada,2026-01-05T09:20:13Z,2026-01-07T23:58:01Z,62.63,13,4,1,1
OT_00152,Instalación,Baja,Oeste,Web,168,Cerrada,2026-01-14T14:31:39Z,2026-01-15T14:52:39Z,24.35,9,0,0,0
OT_00153,Instalación,Baja,Oeste,Sistema,168,Cerrada,2026-01-16T21:13:02Z,2026-01-17T23:38:14Z,26.42,9,0,0,0
OT_00154,Instalación,Baja,Este,Comercial,168,Cerrada,2026-01-16T02:50:02Z,2026-01-17T11:55:26Z,33.09,9,0,0,0
OT_00155,Instalación,Media,Este,Call center,96,Cerrada,2026-02-11T11:16:33Z,2026-02-12T21:29:45Z,34.22,9,0,0,0
OT_00156,Reparación,Media,Centro,Call center,96,Cerrada,2026-01-19T01:59:47Z,2026-01-20T11:37:35Z,33.63,9,0,0,0
OT_00157,Mantenimiento,Alta,Sur,Call center,48,Cerrada,2026-02-17T04:56:39Z,2026-02-18T14:47:03Z,33.84,9,0,0,0
OT_00158,Mantenimiento,Alta,Norte,Call center,48,Cerrada,2026-03-04T05:14:06Z,2026-03-06T14:29:42Z,57.26,9,0,0,1
OT_00159,Mantenimiento,Baja,Norte,Call center,168,Cerrada,2026-01-14T03:03:05Z,2026-01-15T09:37:53Z,30.58,9,0,0,0
OT_00160,Inspección,Alta,Oeste,Call center,48,Cerrada,2026-02-25T16:37:15Z,2026-02-26T12:30:03Z,19.88,9,0,0,0
OT_00161,Mantenimiento,Media,Centro,Call center,96,Cerrada,2026-02-08T23:10:34Z,2026-02-10T14:55:34Z,39.75,9,0,0,0
OT_00162,Instalación,Media,Este,Call center,96,Cerrada,2026-03-29T01:11:32Z,2026-03-30T06:34:20Z,29.38,9,0,0,0
OT_00163,Reparación,Baja,Este,Web,168,Cerrada,2026-03-29T07:31:20Z,2026-04-02T02:58:56Z,91.46,13,4,1,0
OT_00164,Inspección,Baja,Oeste,Call center,168,Cerrada,2026-01-05T20:46:40Z,2026-01-06T20:32:16Z,23.76,9,0,0,0
OT_00165,Mantenimiento,Baja,Sur,Comercial,168,Cerrada,2026-03-25T11:13:30Z,2026-03-26T22:41:06Z,35.46,9,0,0,0
OT_00166,Instalación,Media,Centro,Call center,96,Cerrada,2026-02-21T10:24:02Z,2026-02-22T22:10:50Z,35.78,9,0,0,0
OT_00167,Reparación,Baja,Este,Call center,168,Cerrada,2026-03-10T17:46:27Z,2026-03-12T00:45:51Z,30.99,11,2,1,0
OT_00168,Mantenimiento,Media,Sur,Sistema,96,Cerrada,2026-03-02T03:07:00Z,2026-03-02T20:34:36Z,17.46,9,0,0,0
OT_00169,Mantenimiento,Alta,Este,Call center,48,Cerrada,2026-01-13T02:00:41Z,2026-01-13T21:32:29Z,19.53,9,0,0,0
OT_00170,Mantenimiento,Media,Este,Comercial,96,Cerrada,2026-02-13T12:13:45Z,2026-02-14T23:10:45Z,34.95,9,0,0,0
OT_00171,Instalación,Baja,Centro,Comercial,168,Cerrada,2026-01-16T05:26:38Z,2026-01-17T03:59:02Z,22.54,9,0,0,0
OT_00172,Mantenimiento,Media,Este,Sistema,96,Cerrada,2026-03-14T11:57:51Z,2026-03-15T06:20:39Z,18.38,9,0,0,0
OT_00173,Inspección,Media,Oeste,Call center,96,Cerrada,2026-03-28T03:33:39Z,2026-03-29T16:54:39Z,37.35,9,0,0,0
OT_00174,Reparación,Media,Sur,Comercial,96,Cerrada,2026-02-06T08:52:56Z,2026-02-10T18:10:20Z,105.29,15,6,1,1
OT_00175,Reparación,Alta,Sur,Sistema,48,Cerrada,2026-02-09T03:57:57Z,2026-02-10T08:24:21Z,28.44,11,2,1,0
OT_00176,Inspección,Alta,Centro,Web,48,Cerrada,2026-03-31T19:51:11Z,2026-04-01T11:44:35Z,15.89,9,0,0,0
OT_00177,Reparación,Baja,Norte,Web,168,Cerrada,2026-02-27T14:16:18Z,2026-03-02T09:36:42Z,67.34,11,2,1,0
OT_00178,Reparación,Baja,Sur,Sistema,168,Cerrada,2026-01-16T07:38:50Z,2026-01-18T19:15:26Z,59.61,15,6,1,0
OT_00179,Reparación,Media,Oeste,Call center,96,Cerrada,2026-02-19T10:48:53Z,2026-02-20T17:08:41Z,30.33,9,0,0,0
OT_00180,Reparación,Alta,Sur,Call center,48,Cerrada,2026-01-12T07:06:21Z,2026-01-15T00:32:09Z,65.43,11,2,1,1
OT_00181,Reparación,Media,Oeste,Call center,96,Cerrada,2026-03-22T13:19:00Z,2026-03-23T04:57:24Z,15.64,9,0,0,0
OT_00182,Reparación,Alta,Norte,Call center,48,Cerrada,2026-02-26T13:18:26Z,2026-02-28T16:10:02Z,50.86,11,2,1,1
OT_00183,Inspección,Media,Norte,Call center,96,Cerrada,2026-01-17T21:50:36Z,2026-01-19T12:41:36Z,38.85,9,0,0,0
OT_00184,Instalación,Media,Oeste,Web,96,Cerrada,2026-01-06T09:06:03Z,2026-01-07T08:42:39Z,23.61,11,2,1,0
OT_00185,Mantenimiento,Media,Sur,Sistema,96,Cerrada,2026-03-10T20:46:21Z,2026-03-12T14:03:09Z,41.28,9,0,0,0
OT_00186,Mantenimiento,Baja,Centro,Call center,168,Cerrada,2026-03-23T00:29:43Z,2026-03-24T04:00:55Z,27.52,9,0,0,0
OT_00187,Mantenimiento,Crítica,Norte,Web,24,Cerrada,2026-01-27T23:01:43Z,2026-01-30T14:32:19Z,63.51,13,4,1,1
